"x","y","se","age","filename","Pop","species","study"
2000,91.24473,0.5722923,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1973,91.64657,3.725399,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1974,92.88098,3.186822,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1975,95.31861,1.896214,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1976,98.11451,1.209549,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1977,93.90442,1.122005,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1978,91.12207,2.92711,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1979,94.27168,1.334661,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1980,94.95899,1.528732,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1981,94.68745,1.841658,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1982,91.98606,1.5644,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1983,91.45964,2.350379,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1984,92.44237,1.56955,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1985,86.09193,4.437378,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1986,92.57685,1.577204,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1987,91.97539,1.375237,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1988,92.13331,2.321286,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1989,93.67368,1.645345,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1990,91.76961,1.366956,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1991,91.12059,1.793536,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1992,92.73165,1.799162,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1993,94.83052,1.626053,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1994,88.69054,2.362592,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1995,88.74066,1.748801,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1996,91.93241,1.953301,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1997,90.99947,1.459348,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1998,92.62293,1.523433,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1999,90.52876,2.146439,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
2000,90.46719,1.989483,"11_13","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
